source,target,value
Massimiliano Culpo,var/spack/repos/builtin/packages/hwloc/package.py,1.23
Massimiliano Culpo,lib/spack/llnl/util/lang.py,0.91
Massimiliano Culpo,lib/spack/spack/test/concretize.py,31.77
Massimiliano Culpo,var/spack/repos/builtin/packages/espresso/package.py,1.24
Massimiliano Culpo,lib/spack/spack/test/cmd/graph.py,3.21
Massimiliano Culpo,lib/spack/spack/test/cmd/versions.py,0.32
Massimiliano Culpo,lib/spack/spack/test/database.py,0.72
Massimiliano Culpo,lib/spack/spack/test/spec_syntax.py,7.21
Massimiliano Culpo,lib/spack/spack/cmd/install.py,0.75
Massimiliano Culpo,lib/spack/spack/spec.py,0.55
Massimiliano Culpo,lib/spack/spack/cmd/spec.py,0.67
Massimiliano Culpo,bin/spack,0.93
Massimiliano Culpo,lib/spack/external/__init__.py,0.15
Massimiliano Culpo,lib/spack/spack/config.py,2.19
Massimiliano Culpo,lib/spack/spack/test/config.py,23.25
Massimiliano Culpo,lib/spack/spack/build_environment.py,2.02
Massimiliano Culpo,lib/spack/spack/package.py,0.66
Massimiliano Culpo,lib/spack/spack/cmd/__init__.py,2.0
Massimiliano Culpo,var/spack/repos/builtin/packages/flux/package.py,0.87
Massimiliano Culpo,var/spack/repos/builtin/packages/py-brian2/package.py,0.87
Massimiliano Culpo,var/spack/repos/builtin/packages/py-elephant/package.py,0.87
Massimiliano Culpo,var/spack/repos/builtin/packages/py-pythonqwt/package.py,0.86
Massimiliano Culpo,var/spack/repos/builtin/packages/py-qtconsole/package.py,0.86
Massimiliano Culpo,var/spack/repos/builtin/packages/star-ccm-plus/package.py,0.87
Massimiliano Culpo,lib/spack/docs/tutorial_modules.rst,3.21
Massimiliano Culpo,lib/spack/llnl/util/filesystem.py,4.96
Massimiliano Culpo,lib/spack/spack/cmd/common/arguments.py,2.0
Massimiliano Culpo,var/spack/repos/builtin/packages/plumed/package.py,0.83
Massimiliano Culpo,var/spack/repos/builtin/packages/git/package.py,1.0
Massimiliano Culpo,lib/spack/spack/environment.py,1.16
Massimiliano Culpo,etc/spack/defaults/config.yaml,0.67
Massimiliano Culpo,lib/spack/spack/__init__.py,1.74
Massimiliano Culpo,lib/spack/spack/build_systems/r.py,2.55
Massimiliano Culpo,lib/spack/spack/build_systems/waf.py,5.58
Massimiliano Culpo,lib/spack/spack/schema/modules.py,0.27
Massimiliano Culpo,lib/spack/spack/test/modules.py,12.11
Massimiliano Culpo,lib/spack/spack/test/util/prefix.py,0.88
Massimiliano Culpo,var/spack/repos/builtin/packages/r-rmpi/package.py,0.85
Massimiliano Culpo,var/spack/repos/builtin/packages/adios/package.py,0.73
Massimiliano Culpo,lib/spack/spack/build_systems/autotools.py,10.54
Massimiliano Culpo,var/spack/repos/builtin.mock/packages/a/package.py,0.67
Massimiliano Culpo,lib/spack/spack/cmd/find.py,2.47
Massimiliano Culpo,lib/spack/spack/cmd/info.py,0.12
Massimiliano Culpo,lib/spack/spack/cmd/list.py,2.46
Massimiliano Culpo,lib/spack/spack/repository.py,0.86
Massimiliano Culpo,lib/spack/spack/cmd/env.py,2.82
Massimiliano Culpo,lib/spack/spack/directives.py,1.85
Massimiliano Culpo,lib/spack/spack/patch.py,1.51
